Partido,Escolaridad,Tipo de Propuesta,Estatus
0,Carerra Trunca,de Grupo,Pendiente
0,Carerra Trunca,de Grupo,Pendiente
0,Carerra Trunca,de Grupo,Pendiente
0,Carerra Trunca,de Grupo,Pendiente
0,Carerra Trunca,de Grupo,Aprobada
0,Carerra Trunca,Iniciante,Pendiente
0,Carerra Trunca,Iniciante,Pendiente
0,Carerra Trunca,Iniciante,Pendiente
0,Carerra Trunca,Iniciante,Pendiente
0,Carerra Trunca,Iniciante,Pendiente
0,Carerra Trunca,Iniciante,Pendiente
0,Carerra Trunca,Adherente,Pendiente
0,Carerra Trunca,Adherente,Pendiente
0,Carerra Trunca,Adherente,Pendiente
0,Carerra Trunca,Adherente,Pendiente
0,Carerra Trunca,Adherente,Pendiente
0,Carerra Trunca,Adherente,Pendiente
0,Carerra Trunca,Adherente,Pendiente
0,Carerra Trunca,Adherente,Pendiente
0,Carerra Trunca,Adherente,Pendiente
0,Carerra Trunca,Adherente,Pendiente
0,Carerra Trunca,Adherente,Pendiente
0,Doctorado,Grupo Parlamentario,Pendiente
0,Doctorado,de Grupo,Aprobada
0,Doctorado,de Grupo,Pendiente
0,Doctorado,de Grupo,Pendiente
0,Doctorado,de Grupo,Pendiente
0,Doctorado,de Grupo,Pendiente
0,Doctorado,Iniciante,Aprobada
0,Doctorado,Iniciante,Pendiente
0,Doctorado,Iniciante,Pendiente
0,Doctorado,Iniciante,Pendiente
0,Doctorado,Iniciante,Pendiente
0,Doctorado,Iniciante,Pendiente
0,Doctorado,Iniciante,Pendiente
0,Doctorado,Iniciante,Pendiente
0,Doctorado,Iniciante,Pendiente
0,Doctorado,Iniciante,Pendiente
0,Doctorado,Iniciante,Pendiente
0,Doctorado,Adherente,Pendiente
0,Doctorado,Adherente,Pendiente
0,Doctorado,Adherente,Pendiente
0,Doctorado,Adherente,Pendiente
0,Doctorado,Adherente,Pendiente
0,Doctorado,Adherente,Pendiente
0,Doctorado,Adherente,Pendiente
0,Doctorado,Adherente,Pendiente
0,Doctorado,Adherente,Pendiente
0,Doctorado,Adherente,Pendiente
0,Doctorado,Adherente,Pendiente
0,Doctorado,Adherente,Pendiente
0,Doctorado,Adherente,Pendiente
0,Doctorado,Adherente,Pendiente
0,Doctorado,Adherente,Pendiente
0,Doctorado,Adherente,Pendiente
0,Doctorado,Adherente,Pendiente
0,Doctorado,Adherente,Pendiente
0,Doctorado,Adherente,Pendiente
0,Doctorado,Adherente,Pendiente
0,Doctorado,Adherente,Pendiente
0,Doctorado,Adherente,Pendiente
0,Licenciatura,Grupo Parlamentario,Aprobada
0,Licenciatura,Grupo Parlamentario,Pendiente
0,Licenciatura,Grupo Parlamentario,Pendiente
0,Licenciatura,Grupo Parlamentario,Pendiente
0,Licenciatura,Grupo Parlamentario,Pendiente
0,Licenciatura,Grupo Parlamentario,Pendiente
0,Licenciatura,Grupo Parlamentario,Pendiente
0,Licenciatura,Grupo Parlamentario,Pendiente
0,Licenciatura,de Grupo,Aprobada
0,Licenciatura,de Grupo,Aprobada
0,Licenciatura,de Grupo,Aprobada
0,Licenciatura,de Grupo,Aprobada
0,Licenciatura,de Grupo,Aprobada
0,Licenciatura,de Grupo,Aprobada
0,Licenciatura,de Grupo,Aprobada
0,Licenciatura,de Grupo,Aprobada
0,Licenciatura,de Grupo,Aprobada
0,Licenciatura,de Grupo,Aprobada
0,Licenciatura,de Grupo,Aprobada
0,Licenciatura,de Grupo,Aprobada
0,Licenciatura,de Grupo,Aprobada
0,Licenciatura,de Grupo,Pendiente
0,Licenciatura,de Grupo,Pendiente
0,Licenciatura,de Grupo,Pendiente
0,Licenciatura,de Grupo,Pendiente
